ID,TOWN,TOWNNO,TRACT,LON,LAT,x,y,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
1.000000,0.000000,0.000000,2011.000000,-70.955000,42.255000,338.730000,4679.730000,24.000000,24.000000,0.006320,18.000000,2.310000,0.000000,0.538000,6.575000,65.200000,4.090000,1.000000,296.000000,15.300000,396.900000,4.980000
2.000000,0.000000,1.000000,2021.000000,-70.950000,42.287500,339.230000,4683.330000,21.600000,21.600000,0.027310,0.000000,7.070000,0.000000,0.469000,6.421000,78.900000,4.967100,2.000000,242.000000,17.800000,396.900000,9.140000
3.000000,0.000000,1.000000,2022.000000,-70.936000,42.283000,340.370000,4682.800000,34.700000,34.700000,0.027290,0.000000,7.070000,0.000000,0.469000,7.185000,61.100000,4.967100,2.000000,242.000000,17.800000,392.830000,4.030000
4.000000,0.000000,2.000000,2031.000000,-70.928000,42.293000,341.050000,4683.890000,33.400000,33.400000,0.032370,0.000000,2.180000,0.000000,0.458000,6.998000,45.800000,6.062200,3.000000,222.000000,18.700000,394.630000,2.940000
5.000000,0.000000,2.000000,2032.000000,-70.922000,42.298000,341.560000,4684.440000,36.200000,36.200000,0.069050,0.000000,2.180000,0.000000,0.458000,7.147000,54.200000,6.062200,3.000000,222.000000,18.700000,396.900000,5.330000
6.000000,0.000000,2.000000,2033.000000,-70.916500,42.304000,342.030000,4685.090000,28.700000,28.700000,0.029850,0.000000,2.180000,0.000000,0.458000,6.430000,58.700000,6.062200,3.000000,222.000000,18.700000,394.120000,5.210000
7.000000,0.000000,3.000000,2041.000000,-70.936000,42.297000,340.410000,4684.350000,22.900000,22.900000,0.088290,12.500000,7.870000,0.000000,0.524000,6.012000,66.600000,5.560500,5.000000,311.000000,15.200000,395.600000,12.430000
8.000000,0.000000,3.000000,2042.000000,-70.937500,42.310000,340.310000,4685.800000,27.100000,22.100000,0.144550,12.500000,7.870000,0.000000,0.524000,6.172000,96.100000,5.950500,5.000000,311.000000,15.200000,396.900000,19.150000
9.000000,0.000000,3.000000,2043.000000,-70.933000,42.312000,340.690000,4686.010000,16.500000,16.500000,0.211240,12.500000,7.870000,0.000000,0.524000,5.631000,100.000000,6.082100,5.000000,311.000000,15.200000,386.630000,29.930000
10.000000,0.000000,3.000000,2044.000000,-70.929000,42.316000,341.030000,4686.450000,18.900000,18.900000,0.170040,12.500000,7.870000,0.000000,0.524000,6.004000,85.900000,6.592100,5.000000,311.000000,15.200000,386.710000,17.100000
